installer,target,package_name,url,confidence
Maven,npm,org.webjars.npm:npm,https://central.sonatype.com/artifact/org.webjars.npm/npm/,ecosystems
Maven,pnpm,,https://central.sonatype.com/artifact/org.mvnpm.at.pnpm/error/,squat
Maven,Yarn,org.webjars.npm:yarn,https://central.sonatype.com/artifact/org.webjars.npm/yarn/,ecosystems
Nix,apk,apk-tools,https://repology.org/project/apk-tools/versions,repology
Nix,apt,apt,https://repology.org/project/apt/versions,repology
Nix,Bun,bun,https://repology.org/project/bun/versions,repology
Nix,Bundler,bundler,https://repology.org/project/ruby:bundler/versions,repology
Nix,Cabal,cabal-install,https://repology.org/project/cabal-install/versions,repology
Nix,Cargo,cargo,https://repology.org/project/cargo/versions,repology
Nix,CocoaPods,cocoapods,https://repology.org/project/cocoapods/versions,repology
Nix,Composer,composer,https://repology.org/project/php:composer/versions,repology
Nix,Conan,conan,https://repology.org/project/conan/versions,repology
Nix,Conda,python3.10-conda,https://repology.org/project/conda/versions,repology
Nix,CPAN,perl,https://repology.org/project/perl/versions,repology
Nix,CRAN,R,https://repology.org/project/r/versions,repology
Nix,dub,dub,https://repology.org/project/dub/versions,repology
Nix,Elm,elmPackages.elm,https://search.nixos.org/packages?query=elmPackages.elm,manual
Nix,Go,go,https://repology.org/project/go/versions,repology
Nix,Gradle,gradle,https://repology.org/project/gradle/versions,repology
Nix,Guix,guix,https://repology.org/project/guix/versions,repology
Nix,Hackage,cabal-install,https://repology.org/project/cabal-install/versions,repology
Nix,Helm,kubernetes-helm,https://repology.org/project/kubernetes-helm/versions,repology
Nix,Hex,elixir,https://repology.org/project/elixir/versions,repology
Nix,Julia,julia-bin,https://repology.org/project/julia/versions,repology
Nix,LuaRocks,lua5.1-luarocks,https://repology.org/project/luarocks/versions,repology
Nix,Maven,apache-maven,https://repology.org/project/maven/versions,repology
Nix,Nix,nix,https://repology.org/project/nix/versions,repology
Nix,npm,nodejs,https://search.nixos.org/packages?query=nodejs,manual
Nix,NuGet,Nuget,https://repology.org/project/nuget/versions,repology
Nix,opam,opam,https://repology.org/project/opam/versions,repology
Nix,pacman,pacman,https://repology.org/project/pacman-package-manager/versions,repology
Nix,pdm,pdm,https://repology.org/project/pdm/versions,repology
Nix,pip,python3.11-pip,https://repology.org/project/pip/versions,repology
Nix,pnpm,pnpm,https://repology.org/project/pnpm/versions,repology
Nix,Poetry,poetry,https://repology.org/project/poetry/versions,repology
